,Instruct,Cache Miss,Branch Miss,Cache R,Cache W,LL1 Data C,LL1 Instruct Cache,LLC,D TLB,Instruct Cache,Y
561,16597698,1025589,95776,1565651,95776,4344267,9.38489E+13,129841,4344267,38671,0
562,17635195,3202717,320170,5303668,320170,6437892,1.40733E+14,224602,6437892,61172,0
563,17635195,3202717,198230,4806677,198230,20589893,0,563828,20589893,42814,0
564,6832734,2519726,412371,6427681,412371,3604856,1.4072E+14,147362,3604856,33703,0
565,31547993,1291790,133967,3225227,133967,4437727,9.39932E+13,162660,4437686,51182,0
566,23112595,1211779,125384,2452360,125384,19084270,1.4072E+14,491385,19084270,35373,0
567,23112595,1211779,282268,2854090,282268,4765041,0,215884,4765041,44039,0
568,31976299,2170908,244810,3761440,244810,2207074,1.40728E+14,148476,2207074,25450,0
569,30535398,1721051,187254,9390786,187254,5930279,9.4212E+13,155867,5930279,45593,0
570,19048089,2164412,383795,7631051,383795,18815222,1.40728E+14,480457,18815222,43609,0
571,19048089,2164412,220535,6117338,220535,6998138,0,242617,6998097,63814,0
572,93084652,1375781,153078,4113980,153078,5166883,1.40727E+14,215957,5168638,51619,0
573,13748563,1278773,127515,22269880,127515,4896674,9.47182E+13,141865,4896674,43369,0
574,29418342,2238566,245215,4466423,245215,14631111,1.40727E+14,553677,14631069,134558,0
575,29418342,2238566,166103,1459846,166103,3220088,0,168783,3220402,29556,0
576,98275245,1471348,159312,2989901,159312,4907362,1.40724E+14,175220,4907321,56359,0
577,25481760,1074959,123229,5349563,123229,2871325,9.40143E+13,181329,2871325,41315,0
578,20714685,1935643,212361,22029353,212361,2898726,1.40724E+14,104051,2898726,25885,0
579,20714685,1935643,205635,1959105,205635,4721306,0,190126,4721306,47474,0
580,16065485,1282903,136776,4991891,136776,5469455,1.40731E+14,152357,5469455,56352,0
581,37467492,2697883,256043,20524276,256043,4718481,9.46607E+13,176255,4718439,47935,0
582,18436814,794977,100477,483265,100477,4261214,1.40731E+14,180684,4261214,37662,0
583,18436814,794977,244116,7562086,244116,3110686,0,197038,3110686,34918,0
584,10106230,1651063,195862,1439613,195862,2881305,1.40733E+14,179580,2881305,31240,0
585,17458987,3772846,546113,4825763,546113,3360902,9.43093E+13,163064,3360902,36160,0
586,16270431,604588,81962,2960286,81962,21149773,1.40733E+14,535700,21149734,61755,0
587,16270431,604588,327990,6081858,327990,4800290,0,133514,4800290,42259,0
588,8842403,1188976,125502,1282100,125502,4930596,1.40734E+14,189318,4930555,42266,0
589,4107423,2389038,241183,5029108,241183,3586725,9.47893E+13,160425,3586725,38089,0
590,18707631,2026314,255351,8073655,255351,23475248,1.40734E+14,561499,23475248,62160,0
591,18707631,2026314,348082,5067155,348082,854457,0,115932,854457,17830,0
592,7633015,1383800,147060,5583570,147060,720181,1.40722E+14,105049,720142,14158,0
593,24734708,1154550,135468,4396492,135468,7868855,9.39424E+13,154159,7868855,59891,0
594,27512073,1938991,206815,2214950,206815,2342589,1.40722E+14,148985,2342589,32232,0
595,27512073,1938991,539254,6733308,539254,6564182,0,303020,6564182,59441,0
596,13657147,5232123,598825,38603329,598825,212866423,1.40725E+14,4623559,212866423,720336,0
597,108708213,1507176,202026,11407165,202026,12879025,9.47984E+13,599461,12879025,84366,0
598,19051876,2701335,299753,25089857,299753,7442945,1.40725E+14,305120,7442906,57493,0
599,19051876,2701335,757936,35054028,757936,23116470,0,780464,23116470,161795,0
